res,p_lsog
Pine Barrens Sites,0.392
Pine Barrens Sites,0.392
Pine Barrens Sites,1
Pine Barrens Sites,0.462
Pine Barrens Sites,0.642
Pine Barrens Sites,0.392
Pine Barrens Sites,0.642
Pine Barrens Sites,0.548
Baxter State Park,0.472
Baxter State Park,1
Baxter State Park,0.365
Baxter State Park,0.472
Baxter State Park,0.215
Baxter State Park,0.365
Baxter State Park,0.462
Baxter State Park,0.462
Baxter State Park,0.365
Baxter State Park,1
Baxter State Park,0.42
Baxter State Park,0.523
Baxter State Park,1
Baxter State Park,1
Baxter State Park,1
Bradley Sunkhaze,0.392
Bradley Sunkhaze,0.268
Bradley Sunkhaze,0.462
Bradley Sunkhaze,0.365
Bradley Sunkhaze,0.257
Bradley Sunkhaze,0.462
Bradley Sunkhaze,0.128
Bradley Sunkhaze,0.523
Bradley Sunkhaze,0.365
Bradley Sunkhaze,0.472
Bradley Sunkhaze,0.037
Bradley Sunkhaze,0.06
Bradley Sunkhaze,0.06
Bradley Sunkhaze,0.523
Bradley Sunkhaze,0.035
Bradley Sunkhaze,0.2
Bradley Sunkhaze,0.42
Bradley Sunkhaze,0.275
Bradley Sunkhaze,0.508
Bradley Sunkhaze,0.293
Bradley Sunkhaze,0.365
Bradley Sunkhaze,0.462
Bradley Sunkhaze,0.187
Bradley Sunkhaze,0.02
Bradley Sunkhaze,1
